tr,cr,fr,z
0.838,0.652,-1.124,0.082
0.838,0.647,-1.121,0.082
0.839,0.642,-1.119,0.081
0.839,0.637,-1.116,0.081
0.840,0.633,-1.114,0.080
0.840,0.628,-1.112,0.080
0.840,0.623,-1.110,0.079
0.841,0.618,-1.108,0.079
0.841,0.613,-1.106,0.078
0.842,0.609,-1.104,0.077
0.842,0.604,-1.102,0.077
0.842,0.599,-1.100,0.076
0.842,0.594,-1.098,0.076
0.843,0.590,-1.096,0.075
0.843,0.585,-1.094,0.075
0.843,0.580,-1.092,0.074
0.843,0.575,-1.090,0.074
0.844,0.571,-1.088,0.073
0.844,0.566,-1.086,0.072
0.844,0.561,-1.084,0.072
0.844,0.556,-1.082,0.071
0.845,0.551,-1.080,0.071
0.845,0.546,-1.078,0.070
0.845,0.542,-1.075,0.070
0.845,0.537,-1.073,0.069
0.845,0.532,-1.071,0.069
0.845,0.527,-1.069,0.068
0.846,0.522,-1.067,0.067
0.846,0.518,-1.065,0.067
0.846,0.514,-1.063,0.066
0.846,0.511,-1.062,0.066
0.846,0.509,-1.061,0.066
0.846,0.507,-1.060,0.066
0.846,0.505,-1.059,0.065
0.846,0.502,-1.057,0.065
0.846,0.499,-1.056,0.065
0.846,0.496,-1.055,0.064
0.846,0.493,-1.053,0.064
0.846,0.489,-1.052,0.064
0.847,0.486,-1.050,0.063
0.847,0.482,-1.049,0.063
0.847,0.478,-1.047,0.062
0.847,0.474,-1.045,0.062
0.847,0.470,-1.044,0.061
0.847,0.466,-1.042,0.061
0.847,0.462,-1.040,0.060
0.847,0.458,-1.038,0.060
0.847,0.453,-1.036,0.059
0.847,0.449,-1.034,0.059
0.847,0.444,-1.032,0.058
0.847,0.440,-1.030,0.058
0.847,0.435,-1.028,0.057
0.847,0.431,-1.025,0.057
0.847,0.426,-1.023,0.056
0.847,0.421,-1.021,0.056
0.847,0.416,-1.018,0.055
0.847,0.411,-1.016,0.055
0.847,0.406,-1.013,0.054
0.847,0.401,-1.011,0.054
0.847,0.396,-1.008,0.053
0.847,0.391,-1.005,0.052
0.847,0.386,-1.002,0.052
0.847,0.381,-0.999,0.051
0.847,0.375,-0.995,0.051
0.847,0.369,-0.991,0.050
0.848,0.364,-0.987,0.050
0.848,0.357,-0.982,0.049
0.849,0.351,-0.976,0.049
0.849,0.345,-0.971,0.048
0.850,0.338,-0.965,0.048
0.851,0.331,-0.959,0.047
0.851,0.325,-0.953,0.047
0.852,0.318,-0.946,0.046
0.853,0.311,-0.939,0.046
0.853,0.304,-0.932,0.045
0.854,0.296,-0.925,0.045
0.855,0.289,-0.918,0.044
0.856,0.282,-0.910,0.044
0.857,0.274,-0.902,0.043
0.858,0.267,-0.894,0.043
0.858,0.259,-0.886,0.042
0.859,0.251,-0.878,0.042
0.860,0.244,-0.870,0.041
0.861,0.236,-0.861,0.041
0.862,0.228,-0.853,0.040
0.863,0.221,-0.845,0.039
0.863,0.213,-0.838,0.039
0.864,0.206,-0.831,0.038
0.864,0.199,-0.824,0.038
0.865,0.192,-0.818,0.037
0.865,0.186,-0.811,0.037
0.865,0.179,-0.805,0.036
0.865,0.173,-0.799,0.036
