Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
5.07,0,1.1,3.2,4.3,5.4,5.5
5.08,0,1.1,3.2,4.3,4.4,5.5
5.09,0,1.1,3.2,3.3,5.4,5.5
5.1,0,1.1,3.2,4.3,5.4,5.5
5.11,0,1.1,3.2,4.3,4.4,5.5
5.12,0,1.1,3.2,4.3,5.4,5.5
5.13,0,1.1,3.2,4.3,5.4,5.5
5.14,0,1.1,3.2,4.3,4.4,6.5
5.15,0,1.1,3.2,4.3,5.4,5.5
5.16,0,1.1,3.2,3.3,4.4,6.5
5.17,0,1.1,3.2,3.3,4.4,6.5
5.18,0,1.1,3.2,4.3,5.4,6.5
5.19,0,1.1,3.2,3.3,5.4,6.5
5.2,0,1.1,3.2,3.3,5.4,5.5
5.21,0,1.1,3.2,3.3,5.4,5.5
5.22,0,1.1,3.2,3.3,5.4,5.5
5.23,1,1.1,2.2,3.3,5.4,5.5
5.24,1,1.1,2.2,3.3,5.4,5.5
