Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
2.570,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.580,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.590,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.600,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.610,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.620,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.630,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.640,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.650,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.660,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.670,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.680,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.690,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
2.700,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+5.500e+00
